marca_id,marca,modelo_id,modelo,anio,version,calidad_registro,clave_catalogo,activo
1,Audi,1,A1,2011,1.4 TFSI,catalogo_ampliado,Audi|A1|2011|1.4 TFSI,True
1,Audi,1,A1,2011,Sportback,catalogo_ampliado,Audi|A1|2011|Sportback,True
1,Audi,1,A1,2011,S Line,catalogo_ampliado,Audi|A1|2011|S Line,True
1,Audi,1,A1,2011,Otra / No sé,fallback,Audi|A1|2011|Otra / No sé,True
1,Audi,1,A1,2012,1.4 TFSI,catalogo_ampliado,Audi|A1|2012|1.4 TFSI,True
1,Audi,1,A1,2012,Sportback,catalogo_ampliado,Audi|A1|2012|Sportback,True
1,Audi,1,A1,2012,S Line,catalogo_ampliado,Audi|A1|2012|S Line,True
1,Audi,1,A1,2012,Otra / No sé,fallback,Audi|A1|2012|Otra / No sé,True
1,Audi,1,A1,2013,1.4 TFSI,catalogo_ampliado,Audi|A1|2013|1.4 TFSI,True
1,Audi,1,A1,2013,Sportback,catalogo_ampliado,Audi|A1|2013|Sportback,True
1,Audi,1,A1,2013,S Line,catalogo_ampliado,Audi|A1|2013|S Line,True
1,Audi,1,A1,2013,Otra / No sé,fallback,Audi|A1|2013|Otra / No sé,True
1,Audi,1,A1,2014,1.4 TFSI,catalogo_ampliado,Audi|A1|2014|1.4 TFSI,True
1,Audi,1,A1,2014,Sportback,catalogo_ampliado,Audi|A1|2014|Sportback,True
1,Audi,1,A1,2014,S Line,catalogo_ampliado,Audi|A1|2014|S Line,True
1,Audi,1,A1,2014,Otra / No sé,fallback,Audi|A1|2014|Otra / No sé,True
1,Audi,1,A1,2015,1.4 TFSI,catalogo_ampliado,Audi|A1|2015|1.4 TFSI,True
1,Audi,1,A1,2015,Sportback,catalogo_ampliado,Audi|A1|2015|Sportback,True
1,Audi,1,A1,2015,S Line,catalogo_ampliado,Audi|A1|2015|S Line,True
1,Audi,1,A1,2015,Otra / No sé,fallback,Audi|A1|2015|Otra / No sé,True
1,Audi,1,A1,2016,1.4 TFSI,catalogo_ampliado,Audi|A1|2016|1.4 TFSI,True
1,Audi,1,A1,2016,Sportback,catalogo_ampliado,Audi|A1|2016|Sportback,True
1,Audi,1,A1,2016,S Line,catalogo_ampliado,Audi|A1|2016|S Line,True
1,Audi,1,A1,2016,Otra / No sé,fallback,Audi|A1|2016|Otra / No sé,True
1,Audi,1,A1,2017,1.4 TFSI,catalogo_ampliado,Audi|A1|2017|1.4 TFSI,True
1,Audi,1,A1,2017,Sportback,catalogo_ampliado,Audi|A1|2017|Sportback,True
1,Audi,1,A1,2017,S Line,catalogo_ampliado,Audi|A1|2017|S Line,True
1,Audi,1,A1,2017,Otra / No sé,fallback,Audi|A1|2017|Otra / No sé,True
1,Audi,1,A1,2018,1.4 TFSI,catalogo_ampliado,Audi|A1|2018|1.4 TFSI,True
1,Audi,1,A1,2018,Sportback,catalogo_ampliado,Audi|A1|2018|Sportback,True
1,Audi,1,A1,2018,S Line,catalogo_ampliado,Audi|A1|2018|S Line,True
1,Audi,1,A1,2018,Otra / No sé,fallback,Audi|A1|2018|Otra / No sé,True
1,Audi,1,A1,2019,1.4 TFSI,catalogo_ampliado,Audi|A1|2019|1.4 TFSI,True
1,Audi,1,A1,2019,Sportback,catalogo_ampliado,Audi|A1|2019|Sportback,True
1,Audi,1,A1,2019,S Line,catalogo_ampliado,Audi|A1|2019|S Line,True
1,Audi,1,A1,2019,Otra / No sé,fallback,Audi|A1|2019|Otra / No sé,True
1,Audi,1,A1,2020,1.4 TFSI,catalogo_ampliado,Audi|A1|2020|1.4 TFSI,True
1,Audi,1,A1,2020,Sportback,catalogo_ampliado,Audi|A1|2020|Sportback,True
1,Audi,1,A1,2020,S Line,catalogo_ampliado,Audi|A1|2020|S Line,True
1,Audi,1,A1,2020,Otra / No sé,fallback,Audi|A1|2020|Otra / No sé,True
1,Audi,1,A1,2021,1.4 TFSI,catalogo_ampliado,Audi|A1|2021|1.4 TFSI,True
1,Audi,1,A1,2021,Sportback,catalogo_ampliado,Audi|A1|2021|Sportback,True
1,Audi,1,A1,2021,S Line,catalogo_ampliado,Audi|A1|2021|S Line,True
1,Audi,1,A1,2021,Otra / No sé,fallback,Audi|A1|2021|Otra / No sé,True
1,Audi,1,A1,2022,1.4 TFSI,catalogo_ampliado,Audi|A1|2022|1.4 TFSI,True
1,Audi,1,A1,2022,Sportback,catalogo_ampliado,Audi|A1|2022|Sportback,True
1,Audi,1,A1,2022,S Line,catalogo_ampliado,Audi|A1|2022|S Line,True
1,Audi,1,A1,2022,Otra / No sé,fallback,Audi|A1|2022|Otra / No sé,True
1,Audi,1,A1,2023,1.4 TFSI,catalogo_ampliado,Audi|A1|2023|1.4 TFSI,True
1,Audi,1,A1,2023,Sportback,catalogo_ampliado,Audi|A1|2023|Sportback,True
1,Audi,1,A1,2023,S Line,catalogo_ampliado,Audi|A1|2023|S Line,True
1,Audi,1,A1,2023,Otra / No sé,fallback,Audi|A1|2023|Otra / No sé,True
1,Audi,1,A1,2024,1.4 TFSI,catalogo_ampliado,Audi|A1|2024|1.4 TFSI,True
1,Audi,1,A1,2024,Sportback,catalogo_ampliado,Audi|A1|2024|Sportback,True
1,Audi,1,A1,2024,S Line,catalogo_ampliado,Audi|A1|2024|S Line,True
1,Audi,1,A1,2024,Otra / No sé,fallback,Audi|A1|2024|Otra / No sé,True
1,Audi,1,A1,2025,1.4 TFSI,catalogo_ampliado,Audi|A1|2025|1.4 TFSI,True
1,Audi,1,A1,2025,Sportback,catalogo_ampliado,Audi|A1|2025|Sportback,True
1,Audi,1,A1,2025,S Line,catalogo_ampliado,Audi|A1|2025|S Line,True
1,Audi,1,A1,2025,Otra / No sé,fallback,Audi|A1|2025|Otra / No sé,True
1,Audi,1,A1,2026,1.4 TFSI,catalogo_ampliado,Audi|A1|2026|1.4 TFSI,True
1,Audi,1,A1,2026,Sportback,catalogo_ampliado,Audi|A1|2026|Sportback,True
1,Audi,1,A1,2026,S Line,catalogo_ampliado,Audi|A1|2026|S Line,True
1,Audi,1,A1,2026,Otra / No sé,fallback,Audi|A1|2026|Otra / No sé,True
1,Audi,2,A3,1998,1.4 TFSI,catalogo_ampliado,Audi|A3|1998|1.4 TFSI,True
1,Audi,2,A3,1998,1.8 TFSI,catalogo_ampliado,Audi|A3|1998|1.8 TFSI,True
1,Audi,2,A3,1998,Sportback,catalogo_ampliado,Audi|A3|1998|Sportback,True
1,Audi,2,A3,1998,S Line,catalogo_ampliado,Audi|A3|1998|S Line,True
1,Audi,2,A3,1998,Otra / No sé,fallback,Audi|A3|1998|Otra / No sé,True
1,Audi,2,A3,1999,1.4 TFSI,catalogo_ampliado,Audi|A3|1999|1.4 TFSI,True
1,Audi,2,A3,1999,1.8 TFSI,catalogo_ampliado,Audi|A3|1999|1.8 TFSI,True
1,Audi,2,A3,1999,Sportback,catalogo_ampliado,Audi|A3|1999|Sportback,True
1,Audi,2,A3,1999,S Line,catalogo_ampliado,Audi|A3|1999|S Line,True
1,Audi,2,A3,1999,Otra / No sé,fallback,Audi|A3|1999|Otra / No sé,True
1,Audi,2,A3,2000,1.4 TFSI,catalogo_ampliado,Audi|A3|2000|1.4 TFSI,True
1,Audi,2,A3,2000,1.8 TFSI,catalogo_ampliado,Audi|A3|2000|1.8 TFSI,True
1,Audi,2,A3,2000,Sportback,catalogo_ampliado,Audi|A3|2000|Sportback,True
1,Audi,2,A3,2000,S Line,catalogo_ampliado,Audi|A3|2000|S Line,True
1,Audi,2,A3,2000,Otra / No sé,fallback,Audi|A3|2000|Otra / No sé,True
1,Audi,2,A3,2001,1.4 TFSI,catalogo_ampliado,Audi|A3|2001|1.4 TFSI,True
1,Audi,2,A3,2001,1.8 TFSI,catalogo_ampliado,Audi|A3|2001|1.8 TFSI,True
1,Audi,2,A3,2001,Sportback,catalogo_ampliado,Audi|A3|2001|Sportback,True
1,Audi,2,A3,2001,S Line,catalogo_ampliado,Audi|A3|2001|S Line,True
1,Audi,2,A3,2001,Otra / No sé,fallback,Audi|A3|2001|Otra / No sé,True
1,Audi,2,A3,2002,1.4 TFSI,catalogo_ampliado,Audi|A3|2002|1.4 TFSI,True
1,Audi,2,A3,2002,1.8 TFSI,catalogo_ampliado,Audi|A3|2002|1.8 TFSI,True
1,Audi,2,A3,2002,Sportback,catalogo_ampliado,Audi|A3|2002|Sportback,True
1,Audi,2,A3,2002,S Line,catalogo_ampliado,Audi|A3|2002|S Line,True
1,Audi,2,A3,2002,Otra / No sé,fallback,Audi|A3|2002|Otra / No sé,True
1,Audi,2,A3,2003,1.4 TFSI,catalogo_ampliado,Audi|A3|2003|1.4 TFSI,True
1,Audi,2,A3,2003,1.8 TFSI,catalogo_ampliado,Audi|A3|2003|1.8 TFSI,True
1,Audi,2,A3,2003,Sportback,catalogo_ampliado,Audi|A3|2003|Sportback,True
1,Audi,2,A3,2003,S Line,catalogo_ampliado,Audi|A3|2003|S Line,True
1,Audi,2,A3,2003,Otra / No sé,fallback,Audi|A3|2003|Otra / No sé,True
1,Audi,2,A3,2004,1.4 TFSI,catalogo_ampliado,Audi|A3|2004|1.4 TFSI,True
1,Audi,2,A3,2004,1.8 TFSI,catalogo_ampliado,Audi|A3|2004|1.8 TFSI,True
1,Audi,2,A3,2004,Sportback,catalogo_ampliado,Audi|A3|2004|Sportback,True
1,Audi,2,A3,2004,S Line,catalogo_ampliado,Audi|A3|2004|S Line,True
1,Audi,2,A3,2004,Otra / No sé,fallback,Audi|A3|2004|Otra / No sé,True
1,Audi,2,A3,2005,1.4 TFSI,catalogo_ampliado,Audi|A3|2005|1.4 TFSI,True
